Charging end,Charging start,CountryCode,EVSEID,Meter value end,Meter value start,Metering signature,Partner product ID,Proveider ID,Session ID,Session end,Session start,UID
2018-12-23T14:20:24,2018-12-23T13:22:23,NO,XI*XTI*W626*27,3029.211,2662.507,,LY*TOW,EC-DVP,5bbebad9-537e-4bb7-b3db-46c6ce58f6d6,2018-12-24T07:25:49,2018-12-23T13:22:23,61f1856a08a1b5317239ba50f065c4ee
2018-08-29T06:58:13,2018-08-29T04:00:05,NG,IC*JFF*V021*45,3267.373,3110.66,,LY*TOW,RD-ZIT,b96acba8-ee5c-4df3-b0d5-d74fc4077901,2018-08-30T02:12:50,2018-08-29T04:00:05,98af3c0f3378672da07e6e81266c260d
2018-01-18T17:58:05,2018-01-17T22:39:23,GM,AU*FFE*B165*36,"2312,18","2214,252",,LY*TOW,CN-ZCW,a88dca84-be8d-485b-81ff-543ec0550d22,2018-01-18T17:58:05,2018-01-17T22:39:23,15f8cebd8e781afa8122bfb4dc34fbab
2018-10-23T16:26:33,2018-10-23T02:10:21,MO,GQ*IYV*Q722*61,5250.769,4835.6,,LY*TOW,RC-CGO,568a4b6c-dccd-48fa-b049-e0cd020ae1ec,2018-10-24T01:50:28,2018-10-22T17:14:16,21a86201e67d1344923af8da9210f9c5
2020-11-02T15:03:01,2020-11-02T00:49:01,ZM,AS*JCF*C236*06,"2414,05","2160,366",,LY*TOW,MN-IRB,50873c74-4c85-4e0a-9d39-50d7526639aa,2020-11-03T01:13:27,2020-11-01T23:25:58,87d12d80de20583c7acd2d8e0b9221f6
2020-08-06T07:25:57,2020-08-06T01:52:35,CZ,JM*QEU*P143*54,497.783,128.78,,LY*TOW,FN-WYI,46d38e2b-d934-4af4-804c-81ab265ddde1,2020-08-06T08:53:25,2020-08-05T10:00:12,9940ebbc343427cf3f9bd6b4641903b9
2018-10-23T06:35:04,2018-10-22T16:41:23,EG,VY*JOB*R119*74,"723,229","487,27",53915820,LY*TOW,NI-VWT,3055bf7a-d962-4ad1-8989-15336821686d,2018-10-23T06:35:04,2018-10-22T16:41:23,e31244e90ba41404963403701879a6ab
2020-04-26T06:20:37,2020-04-25T13:01:59,TH,MU*NKF*Y554*11,4337.604,4153.2,,LY*TOW,PX-GML,396b9174-79fa-4be2-9056-10bffc5cfea0,2020-04-26T06:20:37,2020-04-25T13:01:59,57ba6fc5e2a46164c382c0a21a55cad8
2018-12-30T17:47:56,2018-12-30T03:46:13,SD,BF*OHY*Q686*74,"3599,061","3255,819",42004324,LY*TOW,QI-XVR,9707b811-63ce-4d73-bbf7-6a52a9906221,2018-12-30T17:47:56,2018-12-30T03:46:13,da756fd1e15d9faf6f0f92d86bb3bae9
2018-10-02T18:18:24,2018-10-02T01:25:47,CG,PL*VAD*N222*89,"3407,283","3301,719",28160102,LY*TOW,TR-CCN,a661b097-ce63-4893-bc56-b8b63e5fba00,2018-10-02T18:18:24,2018-10-02T01:25:47,f5dbfc9efddba5a4eb95d81f5d6ac8c9
2018-07-05T22:54:30,2018-07-05T22:53:21,VC,RT*TLO*X938*61,4205.473,3772.542,70899645,LY*TOW,FE-GHL,c764247f-3031-4978-a7d0-b29b7508a2b4,2018-07-05T22:54:30,2018-07-05T22:53:21,dc4bb2de26c547a30cd771d494cadd7a
2020-03-09T19:56:10,2020-03-09T15:07:35,JM,JQ*YRU*Z645*43,"4177,089","3959,567",89786783,LY*TOW,FP-XNO,432e0bc7-ba57-405b-a26f-b1cdef5db394,2020-03-10T15:57:26,2020-03-09T05:14:47,880d86c58ade7e0094e921c6b61fcf42
2020-12-27T19:27:57,2020-12-27T10:15:10,GL,OO*UJG*G290*42,2487.99,1994.415,48734904,LY*TOW,DG-LIJ,14c08b7b-350d-4884-84ad-c8abfc89d2ec,2020-12-27T23:47:29,2020-12-27T10:15:10,90910dce83a7617e342ae280f4dd7eb5
2018-12-04T07:12:08,2018-12-03T12:18:29,AZ,LV*VYO*I298*32,"3044,404","2867,329",52703769,LY*TOW,FU-YAG,a0971c46-3a50-4edc-9ac6-56136bd8c4d5,2018-12-04T14:49:28,2018-12-03T11:13:51,d3ff3d978e59a72429b545a9b21c3631
2020-12-23T17:12:55,2020-12-22T23:12:15,TF,PB*MDD*T568*23,188.411,115.35,42795675,LY*TOW,RM-DPD,6f5c3ac6-0210-40cb-82e2-3700bd9f9450,2020-12-23T20:48:52,2020-12-22T23:12:15,e1a1f0d42d774179646f3e65271849ab
2018-07-04T10:17:54,2018-07-03T22:48:53,EH,CU*UYH*L866*38,4091.04,3712.475,48386733,LY*TOW,SM-EDH,044ecb89-f331-471c-96db-e5ca34e123e8,2018-07-04T10:17:54,2018-07-03T17:44:38,733bfdb7492ff979c58ddbbacc3774bd
2019-01-26T07:06:45,2019-01-25T07:42:44,AD,DH*HXH*W806*29,2650.15,2312.51,,LY*TOW,RF-TSI,9d458ccd-c74c-4808-a0bd-5571d954dcd3,2019-01-26T20:02:00,2019-01-25T07:42:44,71d3f0c4a698852bb1aacbdf6e9bbd5b
2019-10-09T14:12:12,2019-10-09T05:15:13,CL,MW*ISR*Y637*38,3546.427,3274.746,,LY*TOW,SI-KEY,6fcca403-b2c7-4c96-b205-3afa6038cfb8,2019-10-09T14:12:12,2019-10-08T11:55:13,8aaaab01a11def1cf5104962db1a7336
2018-12-01T06:00:33,2018-12-01T05:53:20,HM,IX*SMO*U631*67,"1849,596","1524,301",,LY*TOW,PL-GYQ,c658d886-50f4-4849-bd0c-4c5dd07f4829,2018-12-01T11:54:33,2018-12-01T05:53:20,2f95eb0e4fa0e1dd5d3bb29a04a75274
2020-05-11T22:56:59,2020-05-11T20:04:57,SN,AQ*SAS*E257*39,"1413,951","953,843",70280892,LY*TOW,WC-SNK,24902d50-24b1-4eda-abd0-1ae0f31f3a37,2020-05-11T22:56:59,2020-05-11T07:12:03,0443583d72e8398837b3b5e4cfb0f308
2020-04-21T20:40:06,2020-04-21T02:13:25,NO,NA*LYC*C530*23,2450.289,2098.918,83419847,LY*TOW,RC-ZLT,a0d95d08-222f-460d-9be4-ee05b80a9c13,2020-04-22T11:21:01,2020-04-21T02:13:25,65fc65f39da580d24eef9fa2bd23c974
2019-08-16T22:17:17,2019-08-16T07:29:35,UM,JQ*TDS*T865*02,1250.737,1070.488,09220752,LY*TOW,NV-PYB,06c6d63f-51e8-418c-a827-6f024a7ebfe5,2019-08-16T22:17:17,2019-08-16T01:49:55,f3a6b887108140fc79c5ce303e4063a1
2018-12-04T23:44:56,2018-12-04T14:19:48,MA,TK*DVT*B038*68,714.892,464.973,,LY*TOW,NV-NQC,fcf362f1-5c5b-429f-bdb7-cae966607f59,2018-12-05T19:39:41,2018-12-04T08:11:12,a99f1eabb92c3f1ab0610b231162b743
2020-10-24T18:54:19,2020-10-24T07:49:57,SO,DG*YZM*W214*40,2363.685,1890.909,,LY*TOW,XL-OES,d68fd6f1-745b-4f2d-86ae-4e8aa7842a4f,2020-10-25T17:25:05,2020-10-24T07:49:57,7927078de48f3155ac932bef0ac71043
2019-03-13T04:00:26,2019-03-12T06:25:50,DZ,DE*OJZ*T851*73,5005.978,4811.684,21179376,LY*TOW,VC-AHM,58c8416b-3ad3-4222-8ee0-310719e9decb,2019-03-13T15:24:13,2019-03-11T07:14:03,851eac6e3c6fc6eb69433f03a88f86fa
2020-05-19T02:59:11,2020-05-18T22:30:43,MH,ZB*GIA*P792*15,888.516,421.599,32819650,LY*TOW,CU-GTA,264353fe-c9a5-4c94-84c7-7af3654a31ad,2020-05-19T23:46:47,2020-05-18T21:26:35,1772323e42b875d879b3c33c14b4f721
2018-10-25T22:15:35,2018-10-24T23:36:58,DM,LM*JGY*N733*41,777.965,365.503,,LY*TOW,RB-FUV,68a27de9-0313-4276-8baa-779dace023e7,2018-10-26T17:28:10,2018-10-24T15:33:03,a5243a7b4a7dcc49402af0e261ca2510
2019-03-30T23:37:45,2019-03-30T10:12:13,GP,QI*SQB*Q714*09,2821.055,2564.16,12973757,LY*TOW,DV-MVC,474788f2-1dff-4b7e-82b2-47320a2c1516,2019-03-30T23:37:45,2019-03-30T10:12:13,01c643d6e27b11a7aec45a06d733ae9d
2020-02-04T06:08:03,2020-02-03T11:32:23,MN,YC*MTO*D567*20,2279.626,2152.682,,LY*TOW,YZ-KMR,ecf480f4-1df6-495f-9b00-07a09ba072a6,2020-02-04T08:49:07,2020-02-03T11:32:23,387390cc91f3263180c0087c758b79b7
2019-05-17T02:26:30,2019-05-16T07:17:22,BB,AY*OJN*X492*91,"2716,939","2666,705",,LY*TOW,RF-VYW,3628e0ce-6a0c-4826-8c45-cfae3c4d8c33,2019-05-17T02:26:30,2019-05-15T20:51:11,40e9211ac058821594bdecfbc9039d23
2018-11-14T01:33:06,2018-11-14T00:52:19,JE,OM*WTN*M025*72,"465,385","343,979",,LY*TOW,FZ-BFZ,fea3fce4-587a-4af3-8073-c62ef43786b0,2018-11-14T14:22:24,2018-11-13T02:35:15,1e1e344312a90db8737fe93a12a16acc
2018-02-01T21:15:00,2018-02-01T10:07:53,SA,YG*RST*X266*28,"3061,729","2652,831",,LY*TOW,BY-VJC,bdf11477-87c3-4456-9c24-5a3da311e823,2018-02-02T09:51:50,2018-02-01T10:07:53,c53344f6c2c75a87bde2f8142309bdd3
2020-01-01T14:37:33,2020-01-01T00:38:16,SS,YA*RED*X375*73,4420.077,4269.151,41821223,LY*TOW,RB-KXR,c721f9a9-4a6d-40d0-a57c-586b74a6c99b,2020-01-02T13:50:27,2019-12-31T18:46:02,d98e252dae702b0cfc7a6c8294a6293a
2019-11-14T14:01:35,2019-11-13T19:29:32,PS,VC*INJ*P127*58,"5331,544","4996,34",81896348,LY*TOW,ME-ODU,865a9075-ed9e-48c2-892f-6c9ae22475cb,2019-11-15T01:11:11,2019-11-13T12:18:39,865c4fe6b3fcbefadba6c2087000740e
2018-03-18T08:36:59,2018-03-17T11:06:31,CX,RU*QXU*N129*98,1757.639,1711.577,,LY*TOW,IQ-IMS,e8e4103f-0d3a-421f-8d8d-56afe6beb1dd,2018-03-18T08:36:59,2018-03-16T12:49:19,2854a81a79e6d111c14f55ea7de0cba8
2020-05-13T12:22:35,2020-05-13T10:11:10,JM,VE*WDL*V538*37,"1164,438","870,143",,LY*TOW,QQ-ZPV,c73689ac-fd34-47ac-ab86-fc3d33437756,2020-05-13T12:22:35,2020-05-12T20:12:57,edf3a8bf9c8b2b23007f5d0ed1210ddf
2019-09-17T03:33:56,2019-09-16T12:36:45,EE,OK*MWK*J565*12,3968.323,3545.192,52970670,LY*TOW,EB-RJM,2d5286f2-4ab3-4be6-af55-59d03a2643fb,2019-09-17T03:33:56,2019-09-16T12:20:32,27fbc0b75f53a2f9705d1f84791561d8
2020-05-28T19:40:52,2020-05-28T14:51:11,KE,MT*BAN*C527*07,"807,762","778,804",52462609,LY*TOW,QD-YRZ,a61e7347-b1f1-46ad-b4b5-91baab5f2ebe,2020-05-28T19:40:52,2020-05-28T07:28:40,ca26ac3a0ed037a19f2177c563f0a5a2
2019-06-15T14:01:23,2019-06-15T10:31:49,DZ,VM*NUN*T122*23,2126.302,1639.325,26934520,LY*TOW,VZ-DEQ,ab94f633-4e30-43ca-8461-da8f15f5c4b9,2019-06-15T14:01:23,2019-06-15T10:31:49,e0e1d4c9ec78d7d19ac8c9c71c2616a8
2018-12-14T12:46:13,2018-12-14T11:52:58,VG,HY*CUM*J149*46,"433,513","358,928",47687603,LY*TOW,CX-DNV,f199c3e5-2624-486d-9ceb-9411a7167812,2018-12-14T12:46:13,2018-12-14T11:52:58,00337cfc0280be5a90455e06b5ec3748
2019-12-18T05:36:42,2019-12-18T01:02:03,IS,TT*JOC*G769*93,3923.692,3803.603,,LY*TOW,JV-SSG,7a1df82e-a61a-4c51-8728-71626f5f2a14,2019-12-19T02:44:11,2019-12-18T01:02:03,9964571021dad184d2124d440d1f29ba
2020-12-12T00:36:51,2020-12-11T15:21:38,WF,OX*CVX*W758*88,"743,457","536,937",31337912,LY*TOW,RO-FMY,a34e4635-2aad-473a-8d0f-2bf3a2b4453d,2020-12-12T00:36:51,2020-12-11T15:21:38,6a3864ef2ae2c920966edbdd64e40f5c
2020-01-15T16:59:28,2020-01-15T00:02:06,ET,TQ*NXD*O846*53,2441.439,1960.554,,LY*TOW,OA-BUV,57daa4e5-434d-4b49-bf4e-e80c877a1945,2020-01-15T16:59:28,2020-01-14T05:44:55,28c1bd65ae37f2ee4bac3d1f36465c7c
2020-04-23T22:34:18,2020-04-23T17:01:21,IN,IB*UQO*I382*11,4587.741,4513.391,,LY*TOW,XJ-LYX,9afffb02-f11e-4719-a2e5-fc0697286a53,2020-04-24T00:10:10,2020-04-23T03:54:29,ce67ce3cde37eca706674d37f53fc3ae
2019-08-21T21:26:43,2019-08-21T00:44:31,BR,CE*ZDC*L809*89,"4966,649","4947,225",07244423,LY*TOW,JV-IVU,16e77d7e-4101-42ad-a875-6b45d0200ab1,2019-08-21T22:22:19,2019-08-21T00:44:31,9ae643854b5e75cfc4441a6fb94423cc
2019-06-26T13:38:53,2019-06-26T04:53:33,AI,SF*AFW*P503*37,4869.841,4631.976,,LY*TOW,QO-DXW,75960b73-4d74-4a4b-a308-8fdd6afcc1ba,2019-06-26T13:38:53,2019-06-26T04:53:33,5f4ccf6e4f9cb3cc21414591daad5f93
2019-02-27T23:24:42,2019-02-27T04:57:23,IM,JL*EPL*P155*82,833.818,493.446,,LY*TOW,EJ-RUJ,2483c280-228d-4502-9523-9ebfd2e3b3f8,2019-02-27T23:24:42,2019-02-26T19:26:39,0c1201debc74553a0d67f931147f55c8
2019-03-22T23:32:25,2019-03-22T23:04:44,AQ,UP*EUL*T191*52,"4232,732","4081,289",,LY*TOW,WN-HCT,d91df562-e66c-44b3-8d5a-90940cb8979f,2019-03-23T05:05:29,2019-03-22T23:04:44,c36e4befbd04ebd64de94326a179e994
